Artikel,Lok,Epoche,DCC,Consist,L/G,Schnittstelle,Decoder,F,Sound,Beschreibung,DH Version,Railcom
Mtx 16121,BR 212 096-2,Ep 4,93,,Lwr,ab Werk,DH14B,"F0-F11, F6: LR aus, F8: LV aus, F0+6+8: Doppel-A, siehe Anleitung",Ab Werk. Minitrix,,,
Mtx 12568,BR 110 238-3,Ep 4,94,,Lwr,nem651,DH10C,"F0,2,3,4,5",,,,
Roc 23401,BR 150 048-7,Ep 4,95,,Gw,,DH05C,"F0,2,3,4,5",,,,
Roc 23391,ETA 180 003,Ep 3,96,,Gw,,DH05C,"F0,2,3,4,5",,,,
Mtx 12573,185 CL 006,Ep 5,97,,Gw,nem651,DH10C,"F0,2,3,4,5",,,,
Kat 10820,Class 66 MRCE 513-9 (ACTS),Ep 5,98,,Lw,nem651,DH10C,"F0,2,3,4,5",,,,
Meh 55421,BlueTiger OHE,Ep 5,99,,Lwr,nem651,DH10C,"F0,2,3,4,5",,C ausgelötet,,
Meh 55546,Vossloh G 2000 MRCE,Ep 5,128,,Lwr,nem651,DH10C,"F0,2,3,4,5",,,,
Flm 7428,BR 628 201-6,Ep 4,129,,Gwr,,DH05C,"F0,1,2,3,4,5",,,,
Bra 61106,BR 204 274-5,Ep 5,130,,Lw,,DH05C,"F0,2,3,4,5",,,,
Hob H2650,SchiStraBus DB,Ep 3,131,,-,nem651,DH05C,"F0,2,3,4,5",,,,
Arn HN2008,VT 702 Indusi-Messwagen,,132,,Lwr,nem651,DH10C,"F0,2,3,4,5",,,,
Hob 23501,Gleisstopfmaschine,Ep 5,133,,-,,DH05C,F4,,,,
Mtx 12577,BR 212 059-0   beige-blau,Ep 4,134,,Gw,,DH05C,"F0,2,3,4,5",,,,
Mtx 12399,BR 212 105-1   rot,Ep 4,135,,Gw,,DH05C,"F0,2,3,4,5",,,,
Arn HN2028,VT 55 Turmtriebwagen rot,Ep 3,136,,Lwr,nem651,DH10C,"F0,2,3,4,5",,,,
Arn HN2029,Köf III,Ep 3,137,,-,,DH05C,F4,,,,
Mtx 16252,225 073,Ep 6,138,,Lwr,ab Werk,DH14B,"F0-F15, F2 Sound, F1: Horn, F3: Führerstandlicht, F6: LR aus, F8: LV aus,….",Ab Werk. Minitrix,,3.06,x
Hob 246045,V 60 157,Ep 3,139,,-,nem651,DH10C,F4,,,3.06,x
Hob 246047,V 260 417-3,Ep 4,140,,-,nem651,DH10C,F4,,,3.06,x
Flm 741101,Gläsener Zug ET91 01,Ep 3,141,,Lwr,n,DH05C,"F0,2,3,4,5",,,3.06,x
Flm 736680,ÖBB Rh 1044,Ep 4,142,,Lwr,ab Werk,Zimo?,"F0,F1,F2,….",,,,
Hob 319674,Lokomotion ES 64 U2 – 001 (Taurus),Ep 5,144,,Lwr,löt,DH10C,F0,,,,
Hob 246049,360-159-8,Ep 5,145,,wr,nem651,DH10C,,,,,
Hob 246044,V60 125,Ep 3,146,,wr,nem651,DH10C,,,,,
Mtx 12197,ICE3 MF,Ep 5,147,,Lwr,nem651,DH10C,,,,,
Lil L161561,"BR 56.2-8, 56 444",Ep 3,148,,Lwr,next18,DH18,F0,,,,
Flm 739478,E94 074 DRG,Ep 2,149,,Lwr,ab Werk,ab Werk mit Sound,"F0, …",,,,
Jag JC62070,E89 107,Ep 2,150,,Lwr,nem651,ESU Lokpilot micro 4.0,F0,,,,
Jag JC62122 ,13257 SBB,Ep 3,151,,Lwr,ab Werk,ab Werk mit Sound,"F0, …",,,,
Hob H3020,SBB Re 4/4 grün,Ep 3,152,,Lwr,nem651,DH10C,F0,,,,
Bra 61183,V180028,Ep3,200,, Lw,loet,DH10C,"F0,2,3,4",,"Trennschnitte noetig, C + L abgeklemmt",,
Bra 61200,V160072,Ep3,201,, Lw,nem651,DH10C,"F0,2,3,4",,C abgeklemmt,,
Bra 63000,E77 31,Ep2,202,, Lw,loet,DH05C,"F0,2,3,4",,"Trennschnitte noetig, C abgeklemmt",,
